Time,CH0,CH1,CH2,CH3
17.1314,2.16303e+07,274.573,271.643,270.91
17.1316,2.16323e+07,274.667,272.376,270.939
17.1318,2.16343e+07,274.667,272.376,270.967
17.132,2.16363e+07,274.635,274.052,271.028
17.1322,2.16383e+07,274.635,274.052,271.087
17.1324,2.16403e+07,274.696,268.816,271.042
17.1326,2.16423e+07,274.696,268.816,270.999
17.1328,2.16443e+07,274.745,272.586,271.03
17.133,2.16463e+07,274.745,272.586,271.06
17.1332,2.16483e+07,274.727,272.795,271.095
17.1334,2.16503e+07,274.727,272.795,271.128
17.1336,2.16523e+07,274.767,271.224,271.13
17.1338,2.16543e+07,274.767,271.224,271.132
17.134,2.16563e+07,274.749,272.586,271.16
17.1342,2.16583e+07,274.749,272.586,271.188
17.1344,2.16603e+07,274.767,269.758,271.16
17.1346,2.16623e+07,274.767,269.758,271.133
17.1348,2.16643e+07,274.75,273.214,271.173
17.135,2.16663e+07,274.75,273.214,271.213
17.1352,2.16683e+07,274.656,269.758,271.185
17.1354,2.16703e+07,274.656,269.758,271.157
17.1356,2.16723e+07,274.927,271.434,271.162
17.1358,2.16743e+07,274.927,271.434,271.168
17.136,2.16763e+07,274.812,271.852,271.181
17.1362,2.16783e+07,274.812,271.852,271.194
17.1364,2.16803e+07,274.882,270.177,271.174
17.1366,2.16823e+07,274.882,270.177,271.155
17.1368,2.16843e+07,274.823,273.214,271.195
17.137,2.16863e+07,274.823,273.214,271.235
17.1372,2.16883e+07,274.828,269.444,271.2
17.1374,2.16903e+07,274.828,269.444,271.165
17.1376,2.16923e+07,274.976,270.805,271.158
17.1378,2.16943e+07,274.976,270.805,271.151
17.138,2.16963e+07,274.797,271.643,271.161
17.1382,2.16983e+07,274.797,271.643,271.17
17.1384,2.17003e+07,274.828,271.434,271.175
17.1386,2.17023e+07,274.828,271.434,271.18
17.1388,2.17043e+07,274.844,273.633,271.229
17.139,2.17063e+07,274.844,273.633,271.276
17.1392,2.17083e+07,274.848,271.852,271.287
17.1394,2.17103e+07,274.848,271.852,271.298
17.1396,2.17123e+07,274.714,274.994,271.371
17.1398,2.17143e+07,274.714,274.994,271.442
17.14,2.17163e+07,275.064,272.586,271.464
17.1402,2.17183e+07,275.064,272.586,271.486
17.1404,2.17203e+07,275.089,274.052,271.536
17.1406,2.17223e+07,275.188,271.224,271.53
17.1408,2.17243e+07,275.188,271.224,271.524
17.141,2.17263e+07,275.207,271.434,271.522
17.1412,2.17283e+07,275.207,271.434,271.521
17.1414,2.17303e+07,275.134,269.968,271.49
17.1416,2.17323e+07,275.134,269.968,271.46
17.1418,2.17343e+07,275.281,270.386,271.439
17.142,2.17363e+07,275.281,270.386,271.419
17.1422,2.17383e+07,275.034,271.852,271.427
17.1424,2.17403e+07,275.034,271.852,271.436
17.1426,2.17423e+07,275.186,267.245,271.353
17.1428,2.17443e+07,275.186,267.245,271.273
17.143,2.17463e+07,275.043,273.214,271.311
17.1432,2.17483e+07,275.043,273.214,271.348
17.1434,2.17503e+07,274.976,270.805,271.338
